fips,state,state_code,county_code,tsubs
01001,AL,01,001,32000
01015,AL,01,015,128000
01017,AL,01,017,515636
01033,AL,01,033,43354
01071,AL,01,071,81000000
01073,AL,01,073,175106061
01089,AL,01,089,968900000
01097,AL,01,097,1231500000
01101,AL,01,101,234600000
01115,AL,01,115,150000
01121,AL,01,121,89700000
01125,AL,01,125,220561436
01127,AL,01,127,131250
04001,AZ,04,001,0
04003,AZ,04,003,0
04005,AZ,04,005,0
04007,AZ,04,007,0
04009,AZ,04,009,0
04011,AZ,04,011,0
04013,AZ,04,013,140827516
04015,AZ,04,015,0
04017,AZ,04,017,0
04019,AZ,04,019,0
04021,AZ,04,021,143920000
04023,AZ,04,023,0
04025,AZ,04,025,0
04027,AZ,04,027,0
06001,CA,06,001,32899298
06003,CA,06,003,0
06007,CA,06,007,3095942
06009,CA,06,009,3200
06011,CA,06,011,830276
06013,CA,06,013,7202806
06017,CA,06,017,872888
06019,CA,06,019,105971154
06021,CA,06,021,1134489
06023,CA,06,023,592911
06025,CA,06,025,12346242
06027,CA,06,027,33536
06029,CA,06,029,21107051
06031,CA,06,031,837624
06033,CA,06,033,0
06037,CA,06,037,660385441
06039,CA,06,039,2091281
06041,CA,06,041,3293474
06043,CA,06,043,683137
06045,CA,06,045,126798
06047,CA,06,047,4420554
06049,CA,06,049,27794
06053,CA,06,053,3198046
06055,CA,06,055,303714
06057,CA,06,057,7016
06059,CA,06,059,48488121
06061,CA,06,061,2684418
06065,CA,06,065,18021443
06067,CA,06,067,24233173
06069,CA,06,069,388647
06071,CA,06,071,15897658
06073,CA,06,073,35943149
06075,CA,06,075,44410277
06077,CA,06,077,24524339
06079,CA,06,079,1042561
06081,CA,06,081,8179077
06083,CA,06,083,1309842
06085,CA,06,085,43786588
06087,CA,06,087,964131
06089,CA,06,089,1340082
06095,CA,06,095,1681181
06097,CA,06,097,2206685
06099,CA,06,099,10065418
06101,CA,06,101,779605
06103,CA,06,103,306786
06105,CA,06,105,323717
06107,CA,06,107,7282627
06109,CA,06,109,32380
06111,CA,06,111,5422611
06113,CA,06,113,3565021
06115,CA,06,115,89323
08001,CO,08,001,57721759
08003,CO,08,003,2076524
08005,CO,08,005,44276232
08007,CO,08,007,1109251
08009,CO,08,009,1027833
08011,CO,08,011,1500955
08013,CO,08,013,9953846
08014,CO,08,014,3976544
08015,CO,08,015,694577
08017,CO,08,017,723811
08019,CO,08,019,1088147
08021,CO,08,021,1298995
08023,CO,08,023,2401586
08025,CO,08,025,351796
08027,CO,08,027,92349
08029,CO,08,029,1935119
08031,CO,08,031,222765380
08033,CO,08,033,897602
08035,CO,08,035,20319474
08039,CO,08,039,26432017
08041,CO,08,041,49734187
08043,CO,08,043,1323508
08045,CO,08,045,12170641
08049,CO,08,049,674606
08051,CO,08,051,845178
08055,CO,08,055,564986
08057,CO,08,057,316767
08059,CO,08,059,36629572
08061,CO,08,061,568618
08063,CO,08,063,10943985
08065,CO,08,065,216535
08067,CO,08,067,1619129
08069,CO,08,069,20986915
08071,CO,08,071,4826389
08073,CO,08,073,9904105
08075,CO,08,075,3275940
08077,CO,08,077,6858537
08079,CO,08,079,289220
08081,CO,08,081,1668765
08083,CO,08,083,7959818
08085,CO,08,085,2388976
08087,CO,08,087,11358580
08089,CO,08,089,1543291
08091,CO,08,091,499999
08093,CO,08,093,86146
08095,CO,08,095,1736034
08099,CO,08,099,6626792
08101,CO,08,101,23267848
08103,CO,08,103,5986645
08105,CO,08,105,4759616
08107,CO,08,107,1786494
08109,CO,08,109,1419258
08111,CO,08,111,138337
08113,CO,08,113,75000
08115,CO,08,115,553543
08117,CO,08,117,12078
08119,CO,08,119,33214
08121,CO,08,121,2553796
08123,CO,08,123,74841144
08125,CO,08,125,5290512
09001,CT,09,001,303864893
09003,CT,09,003,95314162
09005,CT,09,005,5561244
09007,CT,09,007,18385186
09009,CT,09,009,118897645
09011,CT,09,011,24487490
09013,CT,09,013,5546887
09015,CT,09,015,2693230
10001,DE,10,001,15876572
10003,DE,10,003,199388464
10005,DE,10,005,11296276
12001,FL,12,001,13035229
12003,FL,12,003,5781600
12005,FL,12,005,13981285
12009,FL,12,009,155510069
12011,FL,12,011,83275352
