fips,state,state_code,county_code,major_industry_of_parent,tsubs
01001,AL,01,001,NA,32000
01015,AL,01,015,automotive parts,100000
01015,AL,01,015,NA,28000
01017,AL,01,017,NA,515636
01033,AL,01,033,NA,43354
01071,AL,01,071,information technology,81000000
01073,AL,01,073,chemicals,0
01073,AL,01,073,construction and engineering,0
01073,AL,01,073,diversified,0
01073,AL,01,073,financial services,16200
01073,AL,01,073,healthcare services,3450800
01073,AL,01,073,metals,69549
01073,AL,01,073,miscellaneous manufacturing,240300
01073,AL,01,073,retailing,54600000
01073,AL,01,073,NA,116729212
01089,AL,01,089,motor vehicles,900000000
01089,AL,01,089,NA,68900000
01097,AL,01,097,aerospace and military contracting,158500000
01097,AL,01,097,mining and minerals,1073000000
01101,AL,01,101,motor vehicles,234600000
01115,AL,01,115,NA,150000
01121,AL,01,121,motor vehicles,89700000
01125,AL,01,125,automotive parts,557710
01125,AL,01,125,motor vehicles,219300000
01125,AL,01,125,NA,703726
01127,AL,01,127,aerospace and military contracting,131250
04001,AZ,04,001,construction and engineering,0
04001,AZ,04,001,retailing,0
04001,AZ,04,001,telecommunications,0
04001,AZ,04,001,utilities and power generation,0
04001,AZ,04,001,NA,0
04003,AZ,04,003,NA,0
04005,AZ,04,005,aerospace and military contracting,0
04005,AZ,04,005,diversified,0
04005,AZ,04,005,financial services,0
04005,AZ,04,005,food products,0
04005,AZ,04,005,NA,0
04007,AZ,04,007,financial services,0
04007,AZ,04,007,NA,0
04009,AZ,04,009,financial services,0
04009,AZ,04,009,private equity (including portfolio companies),0
04009,AZ,04,009,NA,0
04011,AZ,04,011,construction and engineering,0
04013,AZ,04,013,aerospace and military contracting,0
04013,AZ,04,013,airlines,0
04013,AZ,04,013,construction and engineering,875000
04013,AZ,04,013,financial services,0
04013,AZ,04,013,healthcare services,0
04013,AZ,04,013,housewares and home furnishings,1352516
04013,AZ,04,013,media,0
04013,AZ,04,013,miscellaneous services,0
04013,AZ,04,013,private equity (including portfolio companies),0
04013,AZ,04,013,restaurants and foodservice,0
04013,AZ,04,013,retailing,0
04013,AZ,04,013,telecommunications,0
04013,AZ,04,013,utilities and power generation,0
04013,AZ,04,013,waste management and environmental services,0
04013,AZ,04,013,NA,138600000
04015,AZ,04,015,NA,0
04017,AZ,04,017,financial services,0
04017,AZ,04,017,freight and logistics,0
04017,AZ,04,017,private equity (including portfolio companies),0
04017,AZ,04,017,utilities and power generation,0
04017,AZ,04,017,NA,0
04019,AZ,04,019,financial services,0
04019,AZ,04,019,healthcare services,0
04019,AZ,04,019,paper and packaging,0
04019,AZ,04,019,private equity (including portfolio companies),0
04019,AZ,04,019,telecommunications,0
04019,AZ,04,019,utilities and power generation,0
04019,AZ,04,019,NA,0
04021,AZ,04,021,construction and engineering,0
04021,AZ,04,021,diversified,143920000
04021,AZ,04,021,financial services,0
04021,AZ,04,021,food products,0
04021,AZ,04,021,miscellaneous manufacturing,0
04021,AZ,04,021,miscellaneous services,0
04021,AZ,04,021,private equity (including portfolio companies),0
04021,AZ,04,021,utilities and power generation,0
04021,AZ,04,021,NA,0
04023,AZ,04,023,NA,0
04025,AZ,04,025,miscellaneous manufacturing,0
04025,AZ,04,025,waste management and environmental services,0
04025,AZ,04,025,NA,0
04027,AZ,04,027,construction and engineering,0
04027,AZ,04,027,diversified,0
04027,AZ,04,027,financial services,0
04027,AZ,04,027,food products,0
04027,AZ,04,027,freight and logistics,0
04027,AZ,04,027,industrial services,0
04027,AZ,04,027,motor vehicles,0
04027,AZ,04,027,private equity (including portfolio companies),0
04027,AZ,04,027,telecommunications,0
04027,AZ,04,027,NA,0
06001,CA,06,001,aerospace and military contracting,92975
06001,CA,06,001,automotive parts,510730
06001,CA,06,001,business services,159450
06001,CA,06,001,chemicals,689960
06001,CA,06,001,electrical and electronic equipment,2931100
06001,CA,06,001,food products,1259496
06001,CA,06,001,healthcare services,125554
06001,CA,06,001,household and personal care products,311334
06001,CA,06,001,information technology,56730
06001,CA,06,001,medical equipment and supplies,200585
06001,CA,06,001,miscellaneous manufacturing,51923
06001,CA,06,001,miscellaneous services,50904
06001,CA,06,001,motor vehicles,647626
06001,CA,06,001,paper and packaging,79104
06001,CA,06,001,pharmaceuticals,5895082
06001,CA,06,001,private equity (including portfolio companies),62720
06001,CA,06,001,restaurants and foodservice,23130
06001,CA,06,001,wholesalers,1832192
06001,CA,06,001,NA,17918703
06003,CA,06,003,NA,0
06007,CA,06,007,food products,92736
06007,CA,06,007,healthcare services,737280
06007,CA,06,007,NA,2265926
06009,CA,06,009,NA,3200
06011,CA,06,011,food products,0
06011,CA,06,011,NA,830276
06013,CA,06,013,business services,290168
06013,CA,06,013,chemicals,604723
06013,CA,06,013,food products,178248
06013,CA,06,013,housewares and home furnishings,0
06013,CA,06,013,metals,516796
06013,CA,06,013,miscellaneous services,132074
06013,CA,06,013,oil and gas,1918408
06013,CA,06,013,paper and packaging,7755
06013,CA,06,013,NA,3554634
06017,CA,06,017,industrial equipment,17358
06017,CA,06,017,information technology,126854
06017,CA,06,017,NA,728676
06019,CA,06,019,agribusiness,555917
06019,CA,06,019,airlines,0
06019,CA,06,019,chemicals,139120
06019,CA,06,019,diversified,347982
06019,CA,06,019,electrical and electronic equipment,248311
06019,CA,06,019,financial services,0
06019,CA,06,019,food products,894526
06019,CA,06,019,healthcare services,0
06019,CA,06,019,paper and packaging,76360
06019,CA,06,019,retailing,10043134
06019,CA,06,019,NA,93665804
06021,CA,06,021,diversified,1134489
06021,CA,06,021,food products,0
06021,CA,06,021,NA,0
06023,CA,06,023,NA,592911
06025,CA,06,025,oil and gas,38792
06025,CA,06,025,NA,12307450
06027,CA,06,027,NA,33536
06029,CA,06,029,aerospace and military contracting,410618
06029,CA,06,029,airlines,0
06029,CA,06,029,diversified,1910824
06029,CA,06,029,food products,796446
06029,CA,06,029,healthcare services,72673
06029,CA,06,029,household and personal care products,2325000
06029,CA,06,029,mining and minerals,9314
06029,CA,06,029,miscellaneous services,248125
06029,CA,06,029,oil and gas,137514
06029,CA,06,029,real estate,0
06029,CA,06,029,retailing,3400634
06029,CA,06,029,NA,11795903
06031,CA,06,031,financial services,0
06031,CA,06,031,food products,0
06031,CA,06,031,NA,837624
06033,CA,06,033,NA,0
06037,CA,06,037,aerospace and military contracting,433134306
06037,CA,06,037,airlines,1143175
06037,CA,06,037,apparel,101628
06037,CA,06,037,automotive parts,164037
06037,CA,06,037,beverages,2292629
06037,CA,06,037,building materials,539066
06037,CA,06,037,business services,481364
06037,CA,06,037,chemicals,96573
06037,CA,06,037,construction and engineering,40196
06037,CA,06,037,diversified,1100848
06037,CA,06,037,electrical and electronic equipment,1578234
06037,CA,06,037,financial services,1780032
06037,CA,06,037,food products,4850593
06037,CA,06,037,healthcare services,8832302
06037,CA,06,037,housewares and home furnishings,0
06037,CA,06,037,industrial equipment,1622647
06037,CA,06,037,industrial services,57410
06037,CA,06,037,information technology,53445
06037,CA,06,037,media,338621
06037,CA,06,037,medical equipment and supplies,1149944
06037,CA,06,037,metals,73031
06037,CA,06,037,mining and minerals,83512
06037,CA,06,037,miscellaneous energy products and systems,134726
06037,CA,06,037,miscellaneous manufacturing,1610973
06037,CA,06,037,miscellaneous services,639905
06037,CA,06,037,oil and gas,832811
06037,CA,06,037,paper and packaging,187604
06037,CA,06,037,pharmaceuticals,539188
06037,CA,06,037,private equity (including portfolio companies),1669454
06037,CA,06,037,restaurants and foodservice,834563
06037,CA,06,037,retailing,1945309
06037,CA,06,037,telecommunications,1197101
06037,CA,06,037,utilities and power generation,191464
06037,CA,06,037,wholesalers,4214521
06037,CA,06,037,NA,186874229
06039,CA,06,039,beverages,190671
06039,CA,06,039,building materials,142698
06039,CA,06,039,diversified,360248
06039,CA,06,039,paper and packaging,52005
06039,CA,06,039,NA,1345659
06041,CA,06,041,NA,3293474
06043,CA,06,043,restaurants and foodservice,135980
06043,CA,06,043,NA,547157
06045,CA,06,045,utilities and power generation,83935
06045,CA,06,045,NA,42863
06047,CA,06,047,diversified,286043
06047,CA,06,047,food products,665228
06047,CA,06,047,miscellaneous services,52818
06047,CA,06,047,private equity (including portfolio companies),761437
06047,CA,06,047,retailing,0
06047,CA,06,047,NA,2655028
06049,CA,06,049,NA,27794
06053,CA,06,053,beverages,185640
06053,CA,06,053,food products,1671725
06053,CA,06,053,information technology,98280
06053,CA,06,053,mining and minerals,37344
06053,CA,06,053,private equity (including portfolio companies),0
06053,CA,06,053,NA,1205057
06055,CA,06,055,beverages,14359
06055,CA,06,055,pharmaceuticals,121613
06055,CA,06,055,NA,167742
06057,CA,06,057,NA,7016
06059,CA,06,059,aerospace and military contracting,2320923
06059,CA,06,059,automotive parts,240624
06059,CA,06,059,beverages,97683
06059,CA,06,059,chemicals,172395
06059,CA,06,059,construction and engineering,115639
06059,CA,06,059,diversified,44104
06059,CA,06,059,electrical and electronic equipment,368305
06059,CA,06,059,entertainment,2003320
06059,CA,06,059,financial services,3834154
06059,CA,06,059,food products,126276
06059,CA,06,059,healthcare services,5125593
06059,CA,06,059,household and personal care products,1217790
06059,CA,06,059,housewares and home furnishings,353256
06059,CA,06,059,industrial equipment,762565
06059,CA,06,059,media,530106
06059,CA,06,059,medical equipment and supplies,4800475
06059,CA,06,059,miscellaneous manufacturing,268562
06059,CA,06,059,miscellaneous services,262221
06059,CA,06,059,motor vehicles,332101
06059,CA,06,059,oilfield services and supplies,647368
06059,CA,06,059,pharmaceuticals,12225
06059,CA,06,059,private equity (including portfolio companies),453091
06059,CA,06,059,retailing,0
06059,CA,06,059,telecommunications,61830
06059,CA,06,059,utilities and power generation,67500
06059,CA,06,059,NA,24270015
06061,CA,06,061,aerospace and military contracting,16222
06061,CA,06,061,electrical and electronic equipment,0
06061,CA,06,061,financial services,162083
06061,CA,06,061,wholesalers,100620
06061,CA,06,061,NA,2405493
06065,CA,06,065,aerospace and military contracting,656387
06065,CA,06,065,diversified,63066
06065,CA,06,065,electrical and electronic equipment,60592
06065,CA,06,065,financial services,0
06065,CA,06,065,food products,42771
06065,CA,06,065,healthcare services,3850704
06065,CA,06,065,hotels,216840
06065,CA,06,065,industrial equipment,196952
06065,CA,06,065,metals,111701
06065,CA,06,065,miscellaneous manufacturing,640128
06065,CA,06,065,miscellaneous services,127791
06065,CA,06,065,paper and packaging,338289
06065,CA,06,065,pharmaceuticals,651528
06065,CA,06,065,private equity (including portfolio companies),0
06065,CA,06,065,retailing,525985
06065,CA,06,065,wholesalers,398406
06065,CA,06,065,NA,10140303
06067,CA,06,067,aerospace and military contracting,2006890
06067,CA,06,067,diversified,58244
06067,CA,06,067,electrical and electronic equipment,50283
06067,CA,06,067,financial services,1235810
06067,CA,06,067,food products,183760
06067,CA,06,067,household and personal care products,188959
06067,CA,06,067,miscellaneous manufacturing,12303
06067,CA,06,067,private equity (including portfolio companies),44883
06067,CA,06,067,NA,20452041
06069,CA,06,069,industrial equipment,172128
06069,CA,06,069,NA,216519
06071,CA,06,071,aerospace and military contracting,143822
06071,CA,06,071,building materials,26838
06071,CA,06,071,chemicals,18900
06071,CA,06,071,diversified,147680
06071,CA,06,071,electrical and electronic equipment,393676
06071,CA,06,071,food products,266154
06071,CA,06,071,freight and logistics,186876
06071,CA,06,071,healthcare services,0
06071,CA,06,071,housewares and home furnishings,947155
06071,CA,06,071,industrial equipment,98368
06071,CA,06,071,medical equipment and supplies,21258
06071,CA,06,071,metals,114920
06071,CA,06,071,mining and minerals,69424
06071,CA,06,071,miscellaneous services,46200
06071,CA,06,071,motor vehicles,469534
06071,CA,06,071,oilfield services and supplies,59151
06071,CA,06,071,paper and packaging,67323
06071,CA,06,071,private equity (including portfolio companies),1043116
06071,CA,06,071,restaurants and foodservice,108620
06071,CA,06,071,retailing,877427
06071,CA,06,071,wholesalers,5628
06071,CA,06,071,NA,10785588
06073,CA,06,073,aerospace and military contracting,6203794
06073,CA,06,073,apparel,42666
06073,CA,06,073,automotive parts,148728
06073,CA,06,073,chemicals,48685
06073,CA,06,073,diversified,252772
06073,CA,06,073,electrical and electronic equipment,362792
06073,CA,06,073,financial services,114877
06073,CA,06,073,healthcare services,45705
06073,CA,06,073,information technology,278000
06073,CA,06,073,media,199800
06073,CA,06,073,medical equipment and supplies,391148
06073,CA,06,073,metals,61812
06073,CA,06,073,miscellaneous manufacturing,1114642
06073,CA,06,073,miscellaneous services,422097
06073,CA,06,073,pharmaceuticals,16570
06073,CA,06,073,private equity (including portfolio companies),149440
06073,CA,06,073,retailing,2048155
06073,CA,06,073,telecommunications,773978
06073,CA,06,073,utilities and power generation,89136
06073,CA,06,073,wholesalers,1011091
06073,CA,06,073,NA,22167261
06075,CA,06,075,apparel,62839
06075,CA,06,075,food products,243000
06075,CA,06,075,healthcare services,26750
06075,CA,06,075,information technology,5000000
06075,CA,06,075,retailing,199620
06075,CA,06,075,telecommunications,208069
06075,CA,06,075,NA,38669999
06077,CA,06,077,agribusiness,255866
06077,CA,06,077,automotive parts,261594
06077,CA,06,077,building materials,400048
06077,CA,06,077,chemicals,69572
06077,CA,06,077,diversified,19600
06077,CA,06,077,food products,3511709
06077,CA,06,077,medical equipment and supplies,0
06077,CA,06,077,mining and minerals,10074
06077,CA,06,077,miscellaneous energy products and systems,13417
06077,CA,06,077,miscellaneous manufacturing,1397976
06077,CA,06,077,miscellaneous services,2152566
06077,CA,06,077,oilfield services and supplies,0
06077,CA,06,077,paper and packaging,9620
06077,CA,06,077,private equity (including portfolio companies),12973
06077,CA,06,077,retailing,119991
06077,CA,06,077,wholesalers,272724
06077,CA,06,077,NA,16016609
06079,CA,06,079,industrial equipment,29148
06079,CA,06,079,NA,1013413
06081,CA,06,081,aerospace and military contracting,13755
06081,CA,06,081,airlines,3346673
06081,CA,06,081,electrical and electronic equipment,40464
06081,CA,06,081,financial services,127679
06081,CA,06,081,healthcare services,199290
06081,CA,06,081,industrial equipment,308131
06081,CA,06,081,information technology,20702
06081,CA,06,081,miscellaneous energy products and systems,7761
06081,CA,06,081,miscellaneous manufacturing,0
06081,CA,06,081,NA,4114622
06083,CA,06,083,aerospace and military contracting,4290
06083,CA,06,083,media,0
06083,CA,06,083,medical equipment and supplies,5493
06083,CA,06,083,miscellaneous manufacturing,208174
06083,CA,06,083,NA,1091885
06085,CA,06,085,aerospace and military contracting,1319672
06085,CA,06,085,building materials,335318
06085,CA,06,085,construction and engineering,52000
06085,CA,06,085,diversified,15520
06085,CA,06,085,electrical and electronic equipment,9429116
06085,CA,06,085,financial services,0
06085,CA,06,085,food products,0
06085,CA,06,085,freight and logistics,65082
06085,CA,06,085,healthcare services,132417
06085,CA,06,085,industrial equipment,128644
06085,CA,06,085,information technology,4832473
06085,CA,06,085,medical equipment and supplies,3063472
06085,CA,06,085,metals,4545
06085,CA,06,085,miscellaneous manufacturing,5376658
06085,CA,06,085,miscellaneous services,230074
06085,CA,06,085,paper and packaging,12480
06085,CA,06,085,pharmaceuticals,499343
06085,CA,06,085,private equity (including portfolio companies),224887
06085,CA,06,085,restaurants and foodservice,203574
06085,CA,06,085,utilities and power generation,15461
06085,CA,06,085,wholesalers,0
06085,CA,06,085,NA,17845852
06087,CA,06,087,food products,0
06087,CA,06,087,miscellaneous manufacturing,314936
06087,CA,06,087,NA,649195
